"Order processed by Klarna.","Orderen er behandlet av Klarna."
"Order not found","Ordre ikke funnet"
"Unable to cancel payment for this order.","Kunne ikke kansellere betalingen for denne ordren."
"Order cancellation failed, please try again.","Kansellering av ordren feilet. Vennligst prøv igjen."
"Unable to capture payment for this order.","Kunne ikke registrere betalingen for denne ordren."
"Payment capture not allowed.","Payment capture er ikke tillatt."
"Payment capture failed, please try again.","Payment capture feilet. Vennligst prøv igjen."
"Unable to refund payment for this order.","Kunne ikke refundere betalingen for denne ordren."
"Payment refund failed, please try again.","Refusjon feilet. Vennligst prøv igjen."
"%1 Klarna %2 api error messages: %3","%1 Klarna %2 API-feilmeldinger: %3"
